name,state,country,category,is_target
Bethesda University of California,CA,USA,university,false
Bethune-Cookman University,FL,USA,university,false
Beulah Heights University,GA,USA,university,false
Biblical Theological Seminary,PA,USA,university,false
Biola University,CA,USA,university,false
Birmingham-Southern College,AL,USA,university,false
Bismark State College,ND,USA,university,false
Black Hills State University,SD,USA,university,false
Blackburn College,IL,USA,university,false
Blessing-Rieman College of Nursing,IL,USA,university,false
Bloomfield College,NJ,USA,university,false
Bloomsburg University of Pennsylvania,PA,USA,university,false
Blue Mountain College,MS,USA,university,false
Bluefield College,VA,USA,university,false
Bluefield State College,WV,USA,university,false
Bluffton University,OH,USA,university,false
Boise State University,ID,USA,university,false
Boricua College,NY,USA,university,false
Boston Architectural College,MA,USA,university,false
Boston College,MA,USA,university,false
Boston Conservatory,MA,USA,university,false
Boston Graduate School of Psychoanalysis,MA,USA,university,false
Boston University,MA,USA,university,false
Boulder High School,CO,USA,high_school,false
Bowdoin College,ME,USA,university,false
Bowie State University,MD,USA,university,false
Bowling Green State University,OH,USA,university,false
Bradley University,IL,USA,university,false
Brandeis University,MA,USA,university,false
Brandman University,CA,USA,university,false
Brenau University,GA,USA,university,false
Brescia University,KY,USA,university,false
Brevard College,NC,USA,university,false
Brewton-Parker College,GA,USA,university,false
Briar Cliff University,IA,USA,university,false
Briarcliffe College,NY,USA,university,false
Bridgewater College,VA,USA,university,false
Bridgewater State University,MA,USA,university,false
Brigham Young University,UT,USA,university,false
Brigham Young University-Hawaii,HI,USA,university,false
Brigham Young University-Idaho,ID,USA,university,false
Brite Divinity School,TX,USA,university,false
Broward College,FL,USA,university,false
Brown University,RI,USA,university,false
Bryan College,TN,USA,university,false
Bryan College of Health Sciences,NE,USA,university,false
Bryant University,RI,USA,university,false
Bryn Athyn College of the New Church,PA,USA,university,false
Bryn Mawr College,PA,USA,university,false
Bucknell University,PA,USA,university,false
Buena Vista University,IA,USA,university,false
Burlington College,VT,USA,university,false
Butler University,IN,USA,university,false
Cabarrus College of Health Sciences,NC,USA,university,false
Cabrini College,PA,USA,university,false
Cairn University,PA,USA,university,false
Caldwell College,NJ,USA,university,false
California Baptist University,CA,USA,university,false
California College of the Arts,CA,USA,university,false
California Institute of Integral Studies,CA,USA,university,false
California Institute of Technology,CA,USA,university,false
California Institute of the Arts,CA,USA,university,false
California Lutheran University,CA,USA,university,false
California Maritime Academy,CA,USA,university,false
California Northstate University,CA,USA,university,false
California Polytechnic State University (San Luis Obispo),CA,USA,university,false
California State Polytechnic University (Pomona),CA,USA,university,false
California State University System,CA,USA,university,false
California State University-Bakersfield,CA,USA,university,false
California State University-Channel Islands,CA,USA,university,false
California State University-Chico,CA,USA,university,false
California State University-Dominguez Hills,CA,USA,university,false
California State University-East Bay,CA,USA,university,false
California State University-Fresno,CA,USA,university,false
California State University-Fullerton,CA,USA,university,false
California State University-Long Beach,CA,USA,university,false
California State University-Los Angeles,CA,USA,university,false
California State University-Monterey Bay,CA,USA,university,false
California State University-Northridge,CA,USA,university,false
California State University-Sacramento,CA,USA,university,false
California State University-San Bernardino,CA,USA,university,false
California State University-San Marcos,CA,USA,university,false
California State University-Stanislaus,CA,USA,university,false
California University of Pennsylvania,PA,USA,university,false
Calumet College of Saint Joseph,IN,USA,university,false
Calvary Baptist Seminary,PA,USA,university,false
Calvary Bible College & Theological Seminary,MO,USA,university,false
Calvin College,MI,USA,university,false
Cambridge College,MA,USA,university,false
Cameron University,OK,USA,university,false
Campbell University,NC,USA,university,false
Campbellsville University,KY,USA,university,false
Canisius College,NY,USA,university,false
Capella University,MN,USA,university,false
Capital University,OH,USA,university,false
Capitol College,MD,USA,university,false
Cardinal Stritch University,WI,USA,university,false
Carleton College,MN,USA,university,false
Carlos Albizu University-Miami Campus,FL,USA,university,false
Carlow University,PA,USA,university,false
Carnegie Mellon University,PA,USA,university,false
Carroll College,MT,USA,university,false
Carroll University,WI,USA,university,false
Carson-Newman College,TN,USA,university,false
Carthage College,WI,USA,university,false
